Ep,Tr Loss,Tr Acc%,Vl Loss,Vl Acc%,LR,Time,Saved
1,10.1108,24.52%,8.7110,42.10%,9.99e-04,55.9s,* saved
2,2.6038,41.25%,3.9744,57.83%,9.96e-04,57.8s,* saved
3,1.9326,53.12%,3.5233,59.94%,9.91e-04,57.5s,* saved
4,1.7118,58.00%,3.7145,67.10%,9.84e-04,54.8s,* saved
5,1.5436,62.63%,1.6759,70.10%,9.76e-04,61.6s,* saved
6,1.3932,65.95%,1.2893,78.94%,9.65e-04,62.5s,* saved
7,1.4182,68.16%,2.1706,74.69%,9.53e-04,62.7s,
8,1.2600,71.10%,1.7942,78.42%,9.39e-04,62.8s,
9,1.1762,72.83%,1.0327,83.29%,9.23e-04,62.9s,* saved
10,1.1671,74.07%,1.6840,76.41%,9.05e-04,63.0s,
11,1.0223,76.94%,0.9473,84.03%,8.86e-04,63.5s,* saved
12,1.2063,76.86%,2.2696,79.27%,8.66e-04,62.4s,
13,1.0383,77.78%,0.9117,86.82%,8.44e-04,62.8s,* saved
14,0.8973,80.45%,0.6803,90.34%,8.21e-04,62.8s,* saved
15,0.8732,81.11%,0.6971,90.46%,7.96e-04,62.9s,* saved
16,0.8640,82.06%,0.7779,89.24%,7.70e-04,63.1s,
17,0.8204,83.44%,0.6619,91.43%,7.43e-04,62.8s,* saved
18,0.7860,84.10%,0.6227,90.90%,7.16e-04,62.9s,
19,0.8303,84.17%,0.6415,91.26%,6.87e-04,62.2s,
20,0.7466,85.48%,0.6654,92.36%,6.58e-04,63.6s,* saved
21,0.7216,86.06%,0.6693,90.57%,6.28e-04,62.9s,
22,0.7049,86.59%,0.5470,92.76%,5.98e-04,62.9s,* saved
23,0.6742,87.36%,0.5259,94.25%,5.67e-04,62.5s,* saved
24,0.6612,88.06%,0.5262,93.65%,5.36e-04,63.9s,
25,0.6441,88.66%,0.5782,94.48%,5.05e-04,62.8s,* saved
26,0.6360,88.90%,0.7402,93.17%,4.74e-04,62.9s,
27,0.6389,89.50%,0.4492,95.59%,4.43e-04,63.0s,* saved
28,0.5939,90.24%,0.4552,95.29%,4.12e-04,62.7s,
29,0.5909,90.26%,0.4254,96.16%,3.82e-04,58.7s,* saved
30,0.5670,91.23%,0.4205,96.39%,3.52e-04,58.6s,* saved
31,0.5577,91.43%,0.4127,95.95%,3.23e-04,60.6s,
