Feature,Original_Feature,Importance
resistance_tonn_scaled,"resistance, tonn_scaled",0.43461396359861104
month_scaled,month_scaled,0.15948972330085218
V_scaled,"V, %_scaled",0.13429228012120484
day_scaled,day_scaled,0.05591010677760618
grab2_num_scaled,grab2_num_scaled,0.022495853842422402
weekday_scaled,weekday_scaled,0.02188815515025055
cast_in_row_scaled,cast_in_row_scaled,0.017566067446427948
N_scaled,"N, %_scaled",0.015239928664835192
Mn_scaled,"Mn,%_scaled",0.012314115737248301
hour_scaled,hour_scaled,0.011575425364840427
S_scaled,"S, %_scaled",0.009708222913354088
Ce_scaled,"Ce, %_scaled",0.008941652837043705
Si_scaled,"Si, %_scaled",0.007995714894307724
water_consumption_secondary_cooling_zone_num3_liter_minute_scaled,"water_consumption_secondary_cooling_zone_num3, liter/minute_scaled",0.007628030982836396
Cu_scaled,"Cu, %_scaled",0.0064244882711931945
Cr_scaled,"Cr, %_scaled",0.005643602633313157
C_scaled,"C, %_scaled",0.004993191807717539
Pb_scaled,"Pb, %_scaled",0.004780355691519907
steel_temperature_grab1_Celsius_deg._scaled,"steel_temperature_grab1, Celsius deg._scaled",0.0039323845150693384
Ca_scaled,"Ca, %_scaled",0.003929401269322963
water_consumption_secondary_cooling_zone_num2_liter_minute_scaled,"water_consumption_secondary_cooling_zone_num2, liter/minute_scaled",0.0037568349414382352
Ni_scaled,"Ni, %_scaled",0.003694449713262017
P_scaled,"P, %_scaled",0.003551516799755887
Zn_scaled,"Zn, %_scaled",0.0034765675365752246
As_scaled,"As, %_scaled",0.0034719329898526964
Mo_scaled,"Mo, %_scaled",0.0033971140327069705
Al_scaled,"Al, %_scaled",0.003131184802221006
temperature_measurement1_Celsius_deg._scaled,"temperature_measurement1, Celsius deg._scaled",0.003074421719428944
Sn_scaled,"Sn, %_scaled",0.0030587912130684894
total_cooling_consumption_scaled,total_cooling_consumption_scaled,0.003003171221530434
temperature_measurement2_Celsius_deg._scaled,"temperature_measurement2, Celsius deg._scaled",0.0029922612559167504
impurity_index_scaled,impurity_index_scaled,0.0023674963412058576
Nb_scaled,"Nb, %_scaled",0.0018418685749893424
steel_weight_tonn_scaled,"steel_weight, tonn_scaled",0.0016379112279181227
grab1_num_scaled,grab1_num_scaled,0.0014479938407030112
temperature_difference_scaled,temperature_difference_scaled,0.0011715593427951455
Ti_scaled,"Ti, %_scaled",0.0010083221031654283
workpiece_weight_tonn_scaled,"workpiece_weight, tonn_scaled",0.0009782893934166532
water_consumption_secondary_cooling_zone_num1_liter_minute_scaled,"water_consumption_secondary_cooling_zone_num1, liter/minute_scaled",0.0007221361463397544
steel_weight_theoretical_tonn_scaled,"steel_weight_theoretical, tonn_scaled",0.0006906066791589127
average_cooling_consumption_scaled,average_cooling_consumption_scaled,0.000638171618734902
water_consumption_liter_minute_scaled,"water_consumption, liter/minute_scaled",0.0005251664105041993
swing_frequency_amount_minute_scaled,"swing_frequency, amount/minute_scaled",0.0005052024911455674
quantity_tonn_scaled,"quantity, tonn_scaled",0.00032175880230549386
technical_trim_tonn_scaled,"technical_trim, tonn_scaled",0.00011936117674468246
alloy_speed_meter_minute_scaled,"alloy_speed, meter/minute_scaled",5.3242509052275264e-05
crystallizer_movement_mm_scaled,"crystallizer_movement, mm_scaled",9.965298335237742e-10
residuals_grab2_tonn_scaled,"residuals_grab2, tonn_scaled",1.2558003395792895e-10
Mg_scaled,"Mg, %_scaled",9.046625471314758e-11
water_temperature_delta_Celsius_deg._scaled,"water_temperature_delta, Celsius deg._scaled",8.351094194009093e-11
metal_residue_grab1_tonn_scaled,"metal_residue_grab1, tonn_scaled",0.0
slag_weight_close_grab1_tonn_scaled,"slag_weight_close_grab1, tonn_scaled",0.0
year_scaled,year_scaled,0.0
