RUL_class,date,count
Critical,2020-05-09,335
Critical,2020-05-19,224
Critical,2020-07-24,186
Critical,2020-01-10,178
Critical,2020-05-25,162
Critical,2020-03-08,161
Critical,2020-07-19,160
Critical,2020-07-26,145
Critical,2020-05-17,141
Critical,2020-07-25,136
Critical,2020-08-15,132
Critical,2020-06-09,130
Critical,2020-07-31,122
Critical,2020-05-20,116
Critical,2020-04-09,114
Critical,2020-05-26,114
Critical,2020-05-16,114
Critical,2020-05-31,113
Critical,2020-05-21,112
Critical,2020-08-17,112
Critical,2020-05-22,108
Critical,2020-07-18,103
Critical,2020-08-09,99
Critical,2020-08-14,94
Critical,2020-07-30,93
Critical,2020-05-27,89
Critical,2020-05-23,89
Critical,2020-08-18,89
Critical,2020-07-29,86
Critical,2020-07-27,86
Critical,2020-03-09,84
Critical,2020-05-30,83
Critical,2020-08-21,81
Critical,2020-07-23,78
Critical,2020-01-08,73
Critical,2020-07-20,70
Critical,2020-05-24,68
Critical,2020-08-08,66
Critical,2020-02-08,66
Critical,2020-01-05,64
Critical,2020-05-08,64
Critical,2020-05-29,64
Critical,2020-08-16,60
Critical,2020-07-28,59
Critical,2020-04-08,56
Critical,2020-08-22,55
Critical,2020-08-25,55
Critical,2020-08-13,48
Critical,2020-08-23,43
Critical,2020-02-09,42
Critical,2020-05-28,41
Critical,2020-08-26,39
Critical,2020-08-24,38
Critical,2020-07-17,37
Critical,2020-08-19,34
Critical,2020-06-08,33
Critical,2020-07-09,33
Critical,2020-08-05,32
Critical,2020-03-05,31
Critical,2020-01-07,30
Critical,2020-06-05,24
Critical,2020-08-20,23
Critical,2020-02-05,23
Critical,2020-01-09,21
Critical,2020-02-10,18
Critical,2020-02-07,16
Critical,2020-07-08,15
Critical,2020-06-07,14
Critical,2020-05-15,11
Critical,2020-05-18,9
Critical,2020-04-07,9
Critical,2020-01-06,8
Critical,2020-05-07,1
Low,2020-05-22,244
Low,2020-05-18,215
Low,2020-06-05,192
Low,2020-07-15,164
Low,2020-05-25,153
Low,2020-07-14,152
Low,2020-05-17,144
Low,2020-05-21,140
Low,2020-07-23,133
Low,2020-07-22,132
Low,2020-05-13,132
Low,2020-05-14,128
Low,2020-07-17,123
Low,2020-05-26,117
Low,2020-05-05,113
Low,2020-05-19,112
Low,2020-07-05,108
Low,2020-03-08,107
Low,2020-05-15,105
Low,2020-07-08,102
Low,2020-02-08,101
Low,2020-07-16,100
Low,2020-07-24,98
Low,2020-08-08,93
Low,2020-08-13,85
Low,2020-05-27,82
Low,2020-07-19,80
Low,2020-07-25,80
Low,2020-03-09,79
Low,2020-08-05,77
Low,2020-05-29,77
Low,2020-05-28,75
Low,2020-07-26,73
Low,2020-05-09,72
Low,2020-07-13,70
Low,2020-08-14,67
Low,2020-01-09,66
Low,2020-07-27,65
Low,2020-08-16,60
Low,2020-05-30,59
Low,2020-05-20,58
Low,2020-05-31,58
Low,2020-04-07,57
Low,2020-05-24,56
Low,2020-07-09,52
Low,2020-05-07,50
Low,2020-07-31,49
Low,2020-06-07,46
Low,2020-08-26,45
Low,2020-07-21,43
Low,2020-02-09,42
Low,2020-08-07,41
Low,2020-04-09,41
Low,2020-07-18,39
Low,2020-08-21,39
Low,2020-06-08,37
Low,2020-05-23,37
Low,2020-08-19,34
Low,2020-07-30,33
Low,2020-08-15,33
Low,2020-08-09,32
Low,2020-03-07,32
Low,2020-01-08,32
Low,2020-08-25,31
Low,2020-03-05,31
Low,2020-06-09,30
Low,2020-08-17,29
Low,2020-02-05,29
Low,2020-07-20,28
Low,2020-08-18,27
Low,2020-07-28,27
Low,2020-02-07,25
Low,2020-08-20,23
Low,2020-04-08,22
Low,2020-07-29,19
Low,2020-08-24,18
Low,2020-05-16,18
Low,2020-08-23,17
Low,2020-08-22,17
Low,2020-01-06,4
Low,2020-01-10,1
Healthy,2020-06-08,194
Healthy,2020-03-05,181
Healthy,2020-08-07,176
Healthy,2020-07-13,175
Healthy,2020-06-07,161
Healthy,2020-03-07,160
Healthy,2020-07-07,160
Healthy,2020-07-14,158
Healthy,2020-01-07,150
Healthy,2020-05-07,147
Healthy,2020-07-15,146
Healthy,2020-06-05,136
Healthy,2020-04-07,132
Healthy,2020-07-17,128
Healthy,2020-05-08,128
Healthy,2020-07-29,126
Healthy,2020-07-08,121
Healthy,2020-05-28,115
Healthy,2020-07-09,110
Healthy,2020-08-09,100
Healthy,2020-07-16,98
Healthy,2020-02-07,97
Healthy,2020-07-31,97
Healthy,2020-05-31,90
Healthy,2020-01-09,87
Healthy,2020-05-23,83
Healthy,2020-05-29,83
Healthy,2020-08-05,83
Healthy,2020-05-05,79
Healthy,2020-07-27,77
Healthy,2020-05-30,76
Healthy,2020-07-30,76
Healthy,2020-07-05,73
Healthy,2020-01-08,69
Healthy,2020-08-19,68
Healthy,2020-07-22,65
Healthy,2020-06-09,64
Healthy,2020-01-10,64
Healthy,2020-05-27,63
Healthy,2020-07-23,62
Healthy,2020-07-18,62
Healthy,2020-05-25,62
Healthy,2020-08-25,58
Healthy,2020-07-24,56
Healthy,2020-05-24,56
Healthy,2020-08-21,55
Healthy,2020-07-26,54
Healthy,2020-07-28,54
Healthy,2020-04-08,54
Healthy,2020-07-19,48
Healthy,2020-08-20,46
Healthy,2020-02-05,45
Healthy,2020-08-08,45
Healthy,2020-08-26,45
Healthy,2020-05-09,37
Healthy,2020-03-08,36
Healthy,2020-03-09,35
Healthy,2020-07-21,35
Healthy,2020-02-08,34
Healthy,2020-08-15,33
Healthy,2020-05-13,33
Healthy,2020-05-14,32
Healthy,2020-08-17,31
Healthy,2020-04-09,31
Healthy,2020-08-23,30
Healthy,2020-05-15,29
Healthy,2020-02-09,28
Healthy,2020-08-24,28
Healthy,2020-07-20,28
Healthy,2020-01-06,24
Healthy,2020-05-16,18
Healthy,2020-08-18,12
Healthy,2020-05-22,12
Healthy,2020-08-13,11
Healthy,2020-08-14,4
Healthy,2020-05-17,1
