IsolationForest,LOF,OneClassSVM,doc_requirement,count
-1,-1,-1,ASTM A510/A510M-18,54
-1,-1,-1,DOC 5781-82,28
-1,-1,-1,DOC 34028-2016,23
-1,-1,-1,Contract,7
-1,-1,-1,ASTM A510/A510М-18 / Contract,6
-1,-1,1,Contract,25
-1,-1,1,DOC 5781-82,4
-1,-1,1,DOC 34028-2016,1
-1,-1,1,DOC 380-2005,1
-1,-1,1,ASTM A510/A510M-18,1
-1,1,-1,DOC 5781-82,85
-1,1,-1,ASTM/Contract 4.13.2,50
-1,1,-1,Contract,40
-1,1,-1,ASTM A510/A510M-18,28
-1,1,-1,ASTM A510/A510М-18 / Contract,24
-1,1,-1,DOC 10702-2016,24
-1,1,-1,DOC 34028-2016,1
-1,1,1,DOC 5781-82,302
-1,1,1,Contract,91
-1,1,1,ASTM/Contract 4.13.2,42
-1,1,1,ASTM A510/A510M-18,26
-1,1,1,DOC 34028-2016,1
1,-1,-1,DOC 34028-2016,207
1,-1,-1,ASTM A510/A510M-18,25
1,-1,-1,Contract,15
1,-1,1,DOC 34028-2016,378
1,-1,1,Contract,62
1,-1,1,ASTM A510/A510M-18,20
1,-1,1,DOC 380-2005,7
1,1,-1,DOC 34028-2016,171
1,1,-1,ТУ 24.10.61-022-24688283-2020,29
1,1,-1,Contract,29
1,1,-1,ASTM A510/A510M-18,9
1,1,-1,DOC 380-2005,9
1,1,1,DOC 34028-2016,12960
1,1,1,Contract,1758
1,1,1,ASTM A510/A510M-18,598
1,1,1,DOC 380-2005,98
1,1,1,DIN 488-2009,24
1,1,1,ТУ 24.10.61-022-24688283-2020,16
