IsolationForest,LOF,OneClassSVM,num_stream,count
-1,-1,-1,6,24
-1,-1,-1,2,23
-1,-1,-1,4,20
-1,-1,-1,1,18
-1,-1,-1,3,17
-1,-1,-1,5,16
-1,-1,1,1,6
-1,-1,1,5,6
-1,-1,1,6,6
-1,-1,1,4,5
-1,-1,1,3,5
-1,-1,1,2,4
-1,1,-1,6,59
-1,1,-1,1,55
-1,1,-1,5,40
-1,1,-1,2,40
-1,1,-1,3,30
-1,1,-1,4,28
-1,1,1,5,92
-1,1,1,1,81
-1,1,1,4,80
-1,1,1,3,71
-1,1,1,2,71
-1,1,1,6,67
1,-1,-1,6,49
1,-1,-1,5,42
1,-1,-1,2,42
1,-1,-1,3,40
1,-1,-1,1,40
1,-1,-1,4,34
1,-1,1,3,84
1,-1,1,6,79
1,-1,1,2,78
1,-1,1,4,76
1,-1,1,1,75
1,-1,1,5,75
1,1,-1,1,52
1,1,-1,6,45
1,1,-1,5,40
1,1,-1,2,40
1,1,-1,3,36
1,1,-1,4,34
1,1,1,3,2881
1,1,1,6,2742
1,1,1,5,2543
1,1,1,2,2498
1,1,1,4,2454
1,1,1,1,2336
